"Korean","Japanese","English","Chinese","German","French","Russian"
"많은 물량을 자랑하며 주로 닌자 도구 사용에 활용됩니다.","多くの量を誇り、主に忍者ツールの使用に使用されます。","It boasts a large quantity and is mainly used for ninja tool usage.","它数量众多，主要用于忍者工具的使用。","Es zeichnet sich durch eine große Menge aus und wird hauptsächlich für Ninja-Werkzeuge verwendet.","Elle se targue d'une grande quantité et est principalement utilisée pour l'usage d'outils ninja.","Оно отличается большим количеством и в основном используется в качестве инструмента ниндзя."
"상점 등에서 새로운 심볼을 구매할 수 있는 재화입니다.","ショップなどで新しいシンボルを購入できる商品です。","It is a commodity that allows you to purchase new symbols at shops, etc.","它是一种商品，可以让你在商店等地购买新的符号。","Es handelt sich um eine Ware, mit der man in Geschäften usw. neue Symbole kaufen kann.","Il s'agit d'un produit qui vous permet d'acheter de nouveaux symboles dans les magasins, etc.","Это товар, позволяющий приобретать новые символы в магазинах и т.д."
"플레이어","プレイヤー","player","玩家","Spieler","joueur","игрок"
"왼쪽 적","左敵","enemy on the left","左侧敌人","Feind links","ennemi à gauche","враг слева"
"오른쪽 적","右敵","Right enemy","右敌","Rechter Feind","Ennemi de droite","Правильный враг"
"중앙 적","中央敵","Central enemy","中央敌人","Hauptfeind","Ennemi central","Центральный враг"
"모든 적","すべての敵","All enemies","所有敌人","Alle Feinde","Tous les ennemis","Все враги"
"본인","本人","principal","主要的","Rektor","principal","главный"
"타겟","ターゲット","Target","目标","Ziel","Cible","Цель"
"{0}에게 회복","{0}に回復","Recovery to {0}","恢复到 {0}","Wiederherstellung auf {0}","Récupération à {0}","Восстановление до {0}"
"{0}에게 상태 이상","{0}にステータス異常","Status abnormalities for {0}","{0} 的状态异常","Statusanomalien für {0}","Anomalies d'état pour {0}","Отклонения от нормы для {0}"
"{0}에게 공격({1})","{0}に攻撃（{1}）","Attack {0}({1})","攻击 {0}({1})","Angriff {0}({1})","Attaque {0}({1})","Атака {0}({1})"
"룰렛에 그려진 심볼의 최대치를 1만큼 늘립니다.","ルーレットに描かれたシンボルの最大値を1だけ増やします。","Increases the maximum value of the symbols drawn on the roulette wheel by 1.","将轮盘上绘制符号的最大值增加 1。","Erhöht den Maximalwert der auf dem Rouletterad gezeichneten Symbole um 1.","Augmente de 1 la valeur maximale des symboles tirés sur la roulette.","Увеличивает максимальное значение символов, выпадающих на рулетке, на 1."
"현재 상점의 상품을 새로운 상품으로 교체합니다.","現在店舗の商品を新商品に交換します。","Replaces the current store items with new items.","将现有商店商品替换为新商品。","Ersetzt die aktuellen Artikel im Shop durch neue Artikel.","Remplace les articles actuellement en magasin par de nouveaux articles.","Заменяет текущие товары в магазине новыми."
"{0}을 조정","{0}を調整","Adjust {0}","调整 {0}","Anpassen {0}","Ajuster {0}","Настройте {0}"
"방어 획득","防御獲得","Defense acquisition","国防采购","Verteidigungsbeschaffung","Acquisition de défense","оборонные закупки"
"전투에서 사라진다.","戦闘から消える。","Disappears in battle.","战死沙场。","Verschwindet im Kampf.","Disparaît au combat.","Исчезает в бою."
"{0}의 {1}효과를 제거한다.","{0}の{1}効果を削除します。","Removes the {1} effect of {0}.","移除 {0} 的 {1} 效果。","Entfernt den {1}-Effekt von {0}.","Supprime l'effet {1} de {0}.","Устраняет эффект {1} от {0}."
"{0}의 효과를 전부 제거한다.","{0}の効果をすべて削除します。","Removes all effects of {0}.","移除 {0} 的所有效果。","Entfernt alle Effekte von {0}.","Supprime tous les effets de {0}.","Устраняет все эффекты {0}."
"동료를 불러냅니다.","同僚を呼びます。","Call out a colleague.","","Einen Kollegen zur Rede stellen.","Dénoncez un collègue.","Позовите коллегу."
"<color=yellow>Thanks to play</color>
현재까지 구현된 곳은 여기까집니다!","<color=yellow>Thanks to play</color>
今まで実装されているところはここまでです！","<color=yellow>Thanks to play</color>

This is as far as has been implemented so far!","<color=yellow>感谢游玩</color>

目前为止，功能就实现到这个程度了！","Vielen Dank an Play!

Dies ist der bisherige Stand der Umsetzung!","<color=yellow>Merci à Play</color>

Voici où en est la fonctionnalité pour le moment !","<color=yellow>Спасибо за игру</color>

На этом этапе реализация завершена!"
